Place →		LabialCoronal	LabialCoronal	LabialCoronal	LabialCoronal	LabialCoronal	Coronal	Coronal	Coronal	Coronal	Coronal		DorsalLaryngeal	DorsalLaryngeal	DorsalLaryngeal	DorsalLaryngeal	DorsalLaryngeal	Laryngeal						
Manner ↓		Bi­labialLabio­dental	Bi­labialLabio­dental		Linguo­labialDentalAlveolar	Linguo­labialDentalAlveolar		Post­alveolarRetro­flexPalatal	Post­alveolarRetro­flexPalatal		VelarUvularPharyn­geal/epi­glottal	VelarUvularPharyn­geal/epi­glottal		Glottal	Glottal									
Nasal		m̥m		ɱ		n̼				n̥n				ɳ̊ɳ		ɲ̊ɲ		ŋ̊ŋ		ɴ				
Plosive		pb		p̪b̪		t̼d̼				td				ʈɖ		cɟ		kɡ		qɢ		ʡ		ʔ
Sibilant affricate										tsdz		t̠ʃd̠ʒ		ʈʂɖʐ		tɕdʑ								
Non-sibilant affricate		pɸbβ		p̪fb̪v				t̪θd̪ð		tɹ̝̊dɹ̝		t̠ɹ̠̊˔d̠ɹ̠˔				cçɟʝ		kxɡɣ		qχɢʁ		ʡʢ		ʔh
Sibilant fricative										sz		ʃʒ		ʂʐ		ɕʑ								
Non-sibilant fricative		ɸβ		fv		θ̼ð̼		θð		θ̠ð̠		ɹ̠̊˔ɹ̠˔		ɻ˔		çʝ		xɣ		χʁ		ħʕ		hɦ
Approximant				ʋ̥ʋ						ɹ̥ɹ				ɻ̊ɻ		j̊j		ɰ̊ɰ						ʔ̞
Tap/flap		ⱱ̟		ⱱ		ɾ̼				ɾ̥ɾ				ɽ̊ɽ						ɢ̆		ʡ̆		
Trill		ʙ̥ʙ								r̥r				ɽ̊r̥ɽr						ʀ̥ʀ		ʜʢ		
Lateral affricate										tɬdɮ				ʈɭ̊˔		cʎ̝̊ɟʎ̝		kʟ̝̊ɡʟ̝						
Lateral fricative										ɬɮ				ɭ̊˔ɭ˔		ʎ̝̊ʎ̝		ʟ̝̊ʟ̝						
Lateral approximant										l̥l				ɭ̊ɭ		ʎ̥ʎ		ʟ̥ʟ		ʟ̠				
Lateral tap/flap										ɺ̥ɺ				ɭ̥̆ɭ̆		ʎ̆		ʟ̆						
